state,City,share_white,share_black,share_native_american,share_asian,share_hispanic
AL,Columbiana,71.3,25.1,0.3,0.2,3.0
AL,Concord,98.5,0.5,0.2,0.2,0.5
AL,Coosada,57.7,40.0,0.4,0.2,2.9
AL,Cordova,83.4,14.5,0.8,0.1,0.7
AL,Cottonwood,71.8,25.4,0.6,0.0,1.1
AL,County Line,94.2,1.2,3.1,1.2,0.4
AL,Courtland,57.6,38.4,1.3,0.3,0.3
AL,Cowarts,80.8,14.6,0.7,0.1,1.7
AL,Creola,84.7,9.8,1.8,0.1,3.1
AL,Crossville,88.7,0.4,1.9,0.2,8.3
AL,Cuba,85.3,13.0,0.6,0.0,0.3
AL,Cullman,93.4,0.9,0.3,0.9,8.2
AL,Cullomburg,42.1,57.3,0.0,0.0,0.0
AL,Cusseta,95.9,2.4,0.0,1.6,0.0
AL,Dadeville,50.2,47.5,0.3,0.6,0.9
AL,Daleville,66.2,22.6,1.1,2.7,10.1
AL,Daphne,84.1,11.8,0.4,1.5,2.9
AL,Dauphin Island,97.3,0.4,1.0,0.2,0.7
AL,Daviston,88.8,10.3,0.0,0.9,1.9
AL,Dayton,32.7,65.4,0.0,0.0,0.0
AL,Deatsville,77.6,19.4,0.1,0.3,1.6
AL,Decatur,66.5,21.7,0.7,0.9,12.4
AL,Deer Park,31.9,66.5,0.0,0.0,1.6
AL,Delta,97.0,0.0,2.5,0.0,0.5
AL,Demopolis,47.3,50.1,0.1,0.5,2.4
AL,Detroit,83.1,13.9,0.0,0.0,0.4
AL,Dodge City,96.0,0.7,0.8,0.0,2.5
AL,Dora,85.6,12.2,0.3,0.0,0.7
AL,Dothan,63.1,32.5,0.4,1.1,2.9
AL,Double Springs,97.3,0.6,0.8,0.2,0.4
AL,Douglas,93.3,0.8,0.4,0.0,3.9
AL,Dozier,59.6,35.3,0.3,0.3,0.0
AL,Dunnavant,96.7,0.4,0.7,0.0,2.3
AL,Dutton,90.8,2.5,0.0,0.0,3.2
AL,East Brewton,74.7,20.8,0.6,0.0,3.1
AL,East Point,96.5,0.0,0.0,1.0,3.5
AL,Eclectic,86.4,11.0,0.4,0.0,1.3
AL,Edgewater,31.0,68.4,0.1,0.0,1.0
AL,Edwardsville,98.0,0.5,0.0,0.0,0.0
AL,Egypt,94.3,0.9,0.5,0.5,3.3
AL,Elba,62.1,34.3,1.2,0.3,1.1
AL,Elberta,92.9,1.4,0.3,0.8,5.3
AL,Eldridge,97.7,0.8,0.0,0.0,0.0
AL,Elkmont,85.9,12.7,1.2,0.0,0.0
AL,Elmore,64.3,26.7,0.1,0.2,8.8
AL,Emelle,5.7,94.3,0.0,0.0,0.0
AL,Emerald Mountain,87.1,11.0,0.2,0.6,1.6
AL,Enterprise,69.4,20.7,0.5,2.0,8.8
AL,Epes,8.9,91.1,0.0,0.0,0.0
AL,Ethelsville,74.1,25.9,0.0,0.0,0.0
AL,Eufaula,51.0,44.6,0.5,0.6,4.3
AL,Eunola,91.4,7.4,0.0,0.4,1.6
AL,Eutaw,18.1,80.2,0.1,0.4,1.3
AL,Eva,96.3,0.0,0.4,0.2,0.4
AL,Evergreen,34.8,62.4,0.2,0.2,2.3
AL,Excel,91.1,5.0,1.4,0.0,0.7
AL,Fairfield,4.2,94.6,0.0,0.0,1.1
AL,Fairford,61.3,17.7,19.9,0.0,0.0
AL,Fairhope,91.1,6.2,0.2,0.7,2.8
AL,Fairview,95.5,0.2,0.0,0.4,11.2
AL,Falkville,92.1,3.4,1.1,0.1,2.2
AL,Faunsdale,67.3,32.7,0.0,0.0,0.0
AL,Fayette,73.4,24.3,0.3,0.3,1.4
AL,Fayetteville,97.2,1.3,0.3,0.0,0.3
AL,Fitzpatrick,78.3,21.7,0.0,0.0,2.4
AL,Five Points,46.8,52.5,0.0,0.0,0.0
AL,Flomaton,69.5,27.2,1.6,0.1,2.3
AL,Florala,80.1,15.8,0.8,0.4,2.8
AL,Florence,75.0,19.4,0.4,1.4,3.6
AL,Foley,77.1,14.9,0.6,1.1,9.5
AL,Forestdale,26.2,71.4,0.2,0.2,1.4
AL,Forkland,11.9,87.4,0.2,0.0,0.8
AL,Fort Deposit,23.7,75.5,0.1,0.1,0.4
AL,Fort Payne,77.6,4.2,0.9,0.8,20.9
AL,Fort Rucker,77.7,11.9,0.8,1.3,13.2
AL,Franklin,47.7,49.7,0.0,1.3,0.0
AL,Fredonia,87.9,11.6,0.0,0.0,0.0
AL,Frisco City,45.4,49.3,1.3,0.0,1.8
AL,Fruitdale,70.3,28.6,0.0,0.0,1.6
