state,City,share_white,share_black,share_native_american,share_asian,share_hispanic
IN,Syracuse,95.7,0.6,0.1,0.7,5.2
IN,Taylorsville,96.2,1.1,0.2,0.4,2.9
IN,Tecumseh,97.3,0.0,0.2,1.5,1.1
IN,Tell City,97.5,0.3,0.3,0.7,1.0
IN,Tennyson,99.3,0.4,0.0,0.0,2.2
IN,Terre Haute,83.5,10.9,0.4,1.4,3.1
IN,Thorntown,99.1,0.1,0.2,0.0,0.7
IN,Tipton,97.1,0.1,0.2,0.6,2.7
IN,Toad Hop,99.1,0.0,0.0,0.0,0.9
IN,Topeka,94.4,0.3,0.0,1.0,3.6
IN,Town of Pines,93.9,2.3,0.4,0.3,3.1
IN,Trafalgar,96.3,0.9,0.9,0.5,1.0
IN,Trail Creek,91.2,5.5,0.2,0.6,3.3
IN,Tri-Lakes,97.8,0.1,0.2,0.1,1.1
IN,Troy,98.4,0.0,0.0,0.0,1.3
IN,Ulen,100.0,0.0,0.0,0.0,0.9
IN,Union City,87.6,1.1,0.1,0.1,12.8
IN,Uniondale,96.8,0.3,0.3,1.9,1.0
IN,Universal,99.4,0.3,0.0,0.0,1.7
IN,Upland,94.6,1.6,0.2,1.2,2.3
IN,Utica,89.6,3.4,0.8,1.9,3.4
IN,Vallonia,98.5,0.0,0.0,0.3,1.2
IN,Valparaiso,89.9,3.3,0.3,2.1,7.1
IN,Van Bibber Lake,98.8,0.0,0.2,0.6,0.6
IN,Van Buren,98.0,0.0,0.2,0.3,0.9
IN,Veedersburg,94.8,0.1,0.5,0.1,6.2
IN,Vera Cruz,93.8,0.0,0.0,0.0,5.0
IN,Vernon,97.5,0.3,0.0,0.3,0.6
IN,Versailles,98.2,0.2,0.0,0.3,0.4
IN,Vevay,97.1,0.5,0.0,0.5,1.1
IN,Vincennes,91.9,4.7,0.3,0.7,1.9
IN,Wabash,96.3,0.4,1.0,0.5,2.0
IN,Wakarusa,96.0,1.0,0.1,1.0,2.4
IN,Waldron,98.1,0.0,0.0,0.1,1.5
IN,Walkerton,95.0,0.4,0.7,0.3,5.0
IN,Wallace,100.0,0.0,0.0,0.0,0.0
IN,Walton,93.2,0.3,0.1,0.3,9.5
IN,Wanatah,96.9,0.1,1.0,0.2,3.0
IN,Warren,98.8,0.1,0.1,0.2,0.4
IN,Warren Park,78.6,16.1,0.1,0.2,7.3
IN,Warsaw,89.5,1.6,0.5,2.2,10.4
IN,Washington,89.2,1.1,0.3,1.1,9.6
IN,Waterloo,95.3,0.5,0.1,0.0,3.8
IN,Waveland,98.1,0.0,0.2,0.0,2.6
IN,Waynetown,98.3,0.2,0.0,0.0,2.0
IN,West Baden Springs,93.4,3.1,0.5,0.3,1.4
IN,West College Corner,97.5,0.3,0.3,0.0,0.6
IN,Westfield,90.9,2.2,0.2,2.5,5.8
IN,West Harrison,99.0,0.3,0.3,0.3,0.3
IN,West Lafayette,76.8,2.7,0.1,17.3,3.6
IN,West Lebanon,99.2,0.0,0.1,0.3,0.1
IN,Westphalia,100.0,0.0,0.0,0.0,0.0
IN,West Point,98.8,0.2,0.0,0.0,2.5
IN,Westport,98.5,0.1,0.2,0.1,0.9
IN,West Terre Haute,97.3,0.5,0.6,0.0,1.3
IN,Westville,72.1,25.1,0.2,0.3,6.3
IN,Wheatfield,95.8,0.8,0.0,0.1,5.9
IN,Wheatland,97.9,0.2,0.2,0.0,2.9
IN,Wheeler,94.1,0.9,1.8,0.2,4.5
IN,Whiteland,97.0,0.4,0.2,0.7,1.8
IN,Whitestown,90.9,2.8,0.1,2.9,3.5
IN,Whitewater,100.0,0.0,0.0,0.0,0.0
IN,Whiting,76.3,3.5,0.7,0.7,40.7
IN,Wilkinson,99.3,0.0,0.0,0.0,2.0
IN,Williams,96.9,0.0,0.3,0.7,0.3
IN,Williams Creek,96.1,1.0,0.0,1.5,2.5
IN,Williamsport,98.3,0.3,0.1,0.5,1.0
IN,Winamac,97.2,0.5,0.3,0.4,2.3
IN,Winchester,96.1,0.5,0.5,0.5,2.6
IN,Windfall City,97.2,0.3,0.3,0.3,5.4
IN,Winfield,88.5,3.7,0.4,3.5,8.9
IN,Wingate,100.0,0.0,0.0,0.0,0.0
IN,Winona Lake,92.2,1.5,0.1,1.0,7.4
IN,Winslow,97.8,0.1,0.6,0.1,2.1
IN,Wolcott,95.3,0.3,0.1,0.3,2.6
IN,Wolcottville,96.0,0.5,0.7,0.8,1.8
IN,Woodburn,98.6,0.0,0.2,0.1,1.1
IN,Woodlawn Heights,97.5,0.0,0.0,0.0,3.8
IN,Worthington,98.5,0.1,0.3,0.1,1.4
IN,Wynnedale,61.0,35.9,0.0,1.3,0.9
IN,Yeoman,100.0,0.0,0.0,0.0,0.0
IN,Yorktown,95.3,1.6,0.2,1.5,1.3
IN,Zanesville,98.5,0.2,0.2,0.0,1.5
IN,Zionsville,94.0,1.2,0.1,2.7,2.1
IA,Ackley,94.8,0.1,0.1,0.0,8.8
IA,Ackworth,100.0,0.0,0.0,0.0,1.2
IA,Adair,98.1,0.0,0.1,0.5,1.3
IA,Adel,97.6,0.3,0.2,0.5,2.1
IA,Afton,98.6,0.0,0.5,0.1,0.9
IA,Agency,97.6,0.0,1.3,0.0,2.4
IA,Ainsworth,92.1,0.9,0.0,0.0,20.6
IA,Akron,97.4,0.4,0.6,0.1,0.5
IA,Albert City,98.0,0.1,0.0,0.1,3.0
IA,Albia,97.5,0.3,0.2,0.3,1.9
IA,Albion,97.8,0.2,0.0,0.0,1.8
IA,Alburnett,98.1,0.0,0.4,0.0,1.2
IA,Alden,97.5,0.5,0.1,0.3,1.1
IA,Alexander,96.0,0.0,0.6,0.0,6.9
IA,Algona,97.2,0.5,0.1,0.7,1.4
IA,Alleman,98.4,0.0,0.0,0.2,0.0
IA,Allerton,99.2,0.0,0.2,0.0,0.2
IA,Allison,99.4,0.0,0.0,0.1,0.2
IA,Alta,91.3,1.6,0.2,1.2,15.7
IA,Alta Vista,99.6,0.0,0.0,0.0,1.1
IA,Alton,95.9,0.7,0.3,0.7,4.7
IA,Altoona,95.1,1.1,0.1,1.1,2.9
IA,Alvord,89.8,0.0,0.0,0.0,11.2
IA,Amana,99.1,0.0,0.0,0.0,2.9
IA,Ames,84.5,3.4,0.2,8.8,3.4
IA,Anamosa,91.1,6.4,0.4,0.7,2.0
IA,Anderson,93.8,0.0,0.0,6.2,0.0
IA,Andover,100.0,0.0,0.0,0.0,0.0
IA,Andrew,98.8,0.5,0.0,0.0,0.5
IA,Anita,99.5,0.0,0.0,0.2,0.6
IA,Ankeny,94.7,1.2,0.1,2.0,2.3
IA,Anthon,97.2,0.0,0.2,0.0,2.5
IA,Aplington,99.2,0.1,0.0,0.2,0.3
IA,Arcadia,97.7,0.0,0.4,0.2,0.8
IA,Archer,89.3,0.0,0.0,3.1,7.6
IA,Aredale,100.0,0.0,0.0,0.0,1.4
IA,Arion,90.7,0.0,0.0,0.0,8.3
IA,Arispe,100.0,0.0,0.0,0.0,0.0
IA,Arlington,98.8,0.0,0.7,0.2,0.0
IA,Armstrong,97.8,0.0,0.4,0.4,0.6
IA,Arnolds Park,99.1,0.2,0.1,0.0,0.3
IA,Arthur,98.1,0.5,0.0,0.0,1.5
IA,Asbury,96.8,1.0,0.0,1.1,1.4
IA,Ashton,95.0,1.3,0.4,0.2,3.1
IA,Aspinwall,100.0,0.0,0.0,0.0,0.0
IA,Atalissa,94.2,0.0,0.0,0.3,7.4
IA,Athelstan,100.0,0.0,0.0,0.0,0.0
IA,Atkins,98.9,0.1,0.3,0.1,0.7
IA,Atlantic,97.0,0.2,0.3,0.3,2.6
IA,Auburn,99.7,0.0,0.0,0.3,0.0
IA,Audubon,98.9,0.2,0.3,0.2,0.7
IA,Aurelia,96.3,0.3,0.2,0.6,2.6
IA,Aurora,95.1,0.5,0.0,0.0,1.6
IA,Avoca,98.8,0.2,0.1,0.1,1.9
IA,Ayrshire,100.0,0.0,0.0,0.0,0.0
IA,Badger,97.7,0.4,0.2,0.2,1.2
IA,Bagley,93.4,0.0,1.7,0.3,7.3
IA,Baldwin,100.0,0.0,0.0,0.0,0.0
IA,Balltown,98.5,0.0,0.0,0.0,0.0
IA,Bancroft,98.8,0.1,0.3,0.0,0.3
IA,Bankston,100.0,0.0,0.0,0.0,0.0
IA,Barnes City,99.4,0.0,0.6,0.0,0.0
IA,Barnum,98.4,0.0,0.0,0.0,1.0
IA,Bartlett,92.0,2.0,4.0,0.0,0.0
IA,Bassett,100.0,0.0,0.0,0.0,0.0
IA,Batavia,99.2,0.0,0.2,0.0,3.6
IA,Battle Creek,98.2,0.6,0.0,0.8,1.7
IA,Baxter,97.7,0.3,0.5,0.1,1.3
IA,Bayard,98.7,0.2,0.0,0.4,1.1
IA,Beacon,98.0,0.6,1.2,0.0,2.0
IA,Beaconsfield,100.0,0.0,0.0,0.0,0.0
IA,Beaman,96.9,0.0,0.0,0.5,1.0
IA,Beaver,100.0,0.0,0.0,0.0,0.0
IA,Beaverdale,95.6,1.5,0.3,0.2,1.8
IA,Bedford,97.4,0.5,0.1,0.3,1.3
IA,Belle Plaine,97.8,0.3,0.0,0.4,1.7
IA,Bellevue,99.0,0.1,0.1,0.0,0.8
IA,Belmond,93.2,0.1,0.2,0.3,12.1
IA,Bennett,97.5,0.5,0.0,1.5,2.5
IA,Bentley,94.9,0.0,0.0,0.0,1.7
IA,Benton,95.1,0.0,0.0,0.0,4.9
IA,Berkley,96.9,0.0,0.0,0.0,3.1
IA,Bernard,100.0,0.0,0.0,0.0,0.0
IA,Bertram,98.0,1.4,0.0,0.0,3.4
IA,Bettendorf,91.9,2.2,0.2,3.1,3.6
IA,Bevington,98.4,0.0,0.0,1.6,1.6
IA,Birmingham,97.8,0.7,0.0,0.0,2.0
IA,Blairsburg,99.5,0.0,0.0,0.0,0.0
IA,Blairstown,97.8,0.7,0.1,0.1,4.3
IA,Blakesburg,99.7,0.0,0.0,0.0,0.0
IA,Blanchard,100.0,0.0,0.0,0.0,0.0
IA,Blencoe,96.9,0.0,0.4,0.4,0.4
IA,Blockton,99.5,0.0,0.5,0.0,2.1
IA,Bloomfield,98.3,0.2,0.2,0.4,1.5
IA,Blue Grass,97.0,1.2,0.4,0.2,1.8
IA,Bode,90.4,0.0,1.3,0.0,7.6
IA,Bolan,100.0,0.0,0.0,0.0,0.0
IA,Bonaparte,99.3,0.0,0.0,0.2,2.1
IA,Bondurant,96.5,0.6,0.1,0.8,1.7
IA,Boone,96.7,0.8,0.3,0.4,2.0
IA,Bouton,98.4,0.0,0.8,0.0,0.0
IA,Boxholm,99.0,0.5,0.0,0.0,1.5
IA,Boyden,93.6,0.4,0.1,1.1,9.5
IA,Braddyville,98.1,0.0,0.0,0.0,2.5
IA,Bradford,100.0,0.0,0.0,0.0,1.0
IA,Bradgate,100.0,0.0,0.0,0.0,2.3
IA,Brandon,95.8,0.3,1.3,0.0,5.2
IA,Brayton,98.4,0.0,0.0,0.0,0.8
IA,Breda,98.8,0.4,0.0,0.2,0.0
IA,Bridgewater,95.1,0.0,0.0,0.5,0.5
IA,Brighton,98.8,0.3,0.2,0.2,2.8
IA,Bristow,97.5,0.0,0.0,0.6,0.0
IA,Britt,93.1,0.3,0.1,0.6,7.7
IA,Bronson,97.8,0.0,0.6,0.0,1.2
IA,Brooklyn,95.1,0.7,0.0,0.3,4.0
IA,Brunsville,100.0,0.0,0.0,0.0,0.7
IA,Buckeye,100.0,0.0,0.0,0.0,0.0
IA,Buck Grove,100.0,0.0,0.0,0.0,0.0
IA,Buffalo,97.2,0.5,0.1,0.2,2.5
IA,Buffalo Center,96.1,0.6,0.6,0.2,6.0
IA,Burchinal,97.5,2.5,0.0,0.0,0.0
IA,Burlington,88.2,7.2,0.3,0.8,3.1
IA,Burr Oak,97.0,0.0,0.0,0.6,2.4
IA,Burt,97.9,0.2,0.0,0.0,1.3
IA,Bussey,98.3,0.0,0.7,0.2,2.1
IA,Calamus,95.9,0.0,0.2,0.0,1.6
IA,California Junction,98.8,0.0,0.0,0.0,4.7
IA,Callender,98.7,0.3,0.3,0.0,0.0
IA,Calmar,98.0,0.3,0.0,0.1,2.0
IA,Calumet,96.5,3.5,0.0,0.0,4.7
IA,Camanche,97.6,0.6,0.2,0.4,2.1
IA,Cambridge,97.1,0.4,0.5,0.6,2.9
IA,Cantril,98.6,0.0,0.0,0.5,0.5
IA,Carbon,97.1,0.0,2.9,0.0,2.9
IA,Carlisle,96.7,0.4,0.1,0.5,2.0
IA,Carpenter,98.2,1.8,0.0,0.0,0.0
IA,Carroll,96.0,0.5,0.1,0.7,2.4
IA,Carson,98.8,0.0,0.2,0.1,2.3
IA,Carter Lake,90.3,1.0,0.8,0.5,11.5
IA,Cascade,96.2,0.4,0.1,0.2,3.6
IA,Casey,96.7,0.0,0.0,2.1,1.4
IA,Castalia,100.0,0.0,0.0,0.0,1.2
IA,Castana,100.0,0.0,0.0,0.0,0.7
IA,Cedar Falls,93.4,2.1,0.2,2.3,2.0
IA,Cedar Rapids,88.0,5.6,0.3,2.2,3.3
IA,Center Junction,100.0,0.0,0.0,0.0,4.5
IA,Center Point,97.1,0.9,0.4,0.3,0.4
IA,Centerville,96.5,0.9,0.4,0.3,1.9
IA,Central City,98.3,0.6,0.2,0.2,1.2
IA,Centralia,98.5,0.0,0.0,0.0,0.0
IA,Chapin,95.4,0.0,0.0,0.0,4.6
IA,Chariton,98.7,0.2,0.0,0.2,1.2
IA,Charles City,92.7,2.5,0.2,2.5,2.6
IA,Charlotte,87.8,0.8,0.0,2.0,11.7
IA,Charter Oak,95.6,0.6,0.0,1.4,7.2
IA,Chatsworth,98.7,0.0,0.0,0.0,1.3
IA,Chelsea,79.0,0.0,3.4,0.0,34.1
IA,Cherokee,95.5,1.0,0.3,0.7,2.9
IA,Chester,99.2,0.0,0.8,0.0,0.8
IA,Chillicothe,100.0,0.0,0.0,0.0,1.0
IA,Churdan,94.6,1.0,0.8,1.0,0.8
IA,Cincinnati,97.5,0.0,0.0,0.3,1.1
IA,Clare,97.3,2.1,0.0,0.0,1.4
IA,Clarence,97.8,0.2,0.3,0.0,1.4
IA,Clarinda,89.2,5.6,1.1,1.5,3.2
IA,Clarion,91.9,0.5,0.3,0.5,15.9
IA,Clarksville,98.0,0.1,0.2,0.4,1.2
IA,Clayton,100.0,0.0,0.0,0.0,0.0
IA,Clearfield,97.8,0.6,0.3,0.0,1.7
IA,Clear Lake,96.3,0.5,0.1,1.2,2.2
IA,Cleghorn,95.0,0.8,0.0,0.4,3.8
IA,Clemons,96.6,0.0,0.0,2.7,0.7
IA,Clermont,98.3,0.0,0.0,1.1,1.4
IA,Climbing Hill,97.9,0.0,0.0,0.0,0.0
IA,Clinton,91.0,4.3,0.4,0.7,3.3
IA,Clio,97.5,0.0,0.0,0.0,10.0
IA,Clive,88.1,2.2,0.2,4.0,7.5
IA,Clutier,92.5,0.0,0.5,0.0,8.9
IA,Coalville,92.8,1.6,0.5,0.2,3.1
IA,Coburg,95.2,0.0,0.0,0.0,0.0
IA,Coggon,99.7,0.2,0.0,0.0,0.5
IA,Coin,94.3,0.0,0.0,0.0,7.3
IA,Colesburg,98.0,0.0,0.0,1.0,0.0
IA,Colfax,98.3,0.3,0.4,0.1,0.9
IA,College Springs,96.7,0.0,0.0,0.0,0.0
IA,Collins,99.0,0.0,0.0,0.2,0.2
IA,Colo,98.6,0.3,0.2,0.0,0.9
IA,Columbus City,74.2,0.0,0.0,3.1,41.9
IA,Columbus Junction,74.2,1.6,0.3,3.4,48.0
IA,Colwell,97.3,0.0,0.0,0.0,0.0
IA,Conesville,57.6,0.7,0.0,1.6,63.0
IA,Conrad,97.9,0.4,0.2,0.3,0.6
IA,Conroy,99.6,0.0,0.0,0.0,0.4
IA,Conway,100.0,0.0,0.0,0.0,0.0
IA,Coon Rapids,97.7,0.1,0.1,0.0,3.3
IA,Coppock,93.6,0.0,0.0,0.0,0.0
IA,Coralville,79.4,7.9,0.3,7.8,5.1
IA,Corley,100.0,0.0,0.0,0.0,0.0
IA,Corning,98.2,0.1,0.2,0.9,0.8
IA,Correctionville,97.2,0.2,0.6,0.9,2.3
IA,Corwith,97.7,0.0,0.0,0.3,4.2
IA,Corydon,99.0,0.1,0.2,0.1,0.4
IA,Cotter,100.0,0.0,0.0,0.0,29.2
IA,Coulter,87.2,0.4,0.0,0.0,14.9
IA,Council Bluffs,90.9,1.9,0.6,0.7,8.5
IA,Craig,100.0,0.0,0.0,0.0,0.0
IA,Crawfordsville,93.9,0.8,1.1,0.0,9.1
IA,Crescent,98.4,0.0,0.2,0.0,1.8
IA,Cresco,97.3,0.4,0.1,0.4,1.6
IA,Creston,96.0,1.0,0.3,0.6,2.3
IA,Cromwell,100.0,0.0,0.0,0.0,0.0
IA,Crystal Lake,97.2,1.6,0.4,0.0,4.0
IA,Cumberland,98.9,0.0,0.4,0.0,0.4
IA,Cumming,96.9,0.9,0.0,0.6,1.1
IA,Curlew,98.3,1.7,0.0,0.0,0.0
IA,Cushing,99.5,0.0,0.0,0.0,2.7
IA,Cylinder,98.9,0.0,0.0,0.0,0.0
IA,Dakota City,96.0,0.1,0.5,0.4,4.2
IA,Dallas Center,98.2,0.6,0.2,0.1,0.7
IA,Dana,91.5,8.5,0.0,0.0,2.8
IA,Danbury,97.7,0.0,1.7,0.3,0.0
IA,Danville,96.1,1.8,0.2,0.5,1.3
IA,Davenport,80.7,10.8,0.4,2.2,7.3
IA,Davis City,98.0,0.0,0.5,0.0,1.0
IA,Dawson,93.1,0.8,0.0,0.0,4.6
IA,Dayton,98.7,0.6,0.0,0.0,0.6
IA,Decatur City,95.9,0.0,0.5,1.0,1.0
IA,Decorah,94.6,1.5,0.0,2.2,2.0
IA,Dedham,100.0,0.0,0.0,0.0,0.4
IA,Deep River,100.0,0.0,0.0,0.0,0.0
IA,Defiance,98.9,0.0,0.4,0.4,1.4
IA,Delaware,99.4,0.0,0.0,0.0,0.6
IA,Delhi,99.1,0.0,0.0,0.0,0.7
IA,Delmar,97.0,1.5,0.2,0.2,1.5
IA,Deloit,87.5,0.0,0.0,0.0,22.0
IA,Delphos,100.0,0.0,0.0,0.0,0.0
IA,Delta,97.0,1.8,0.3,0.0,0.6
IA,Denison,70.6,2.3,0.6,1.0,42.1
IA,Denmark,99.5,0.0,0.2,0.0,0.5
IA,Denver,98.8,0.1,0.1,0.3,0.6
IA,Derby,99.1,0.0,0.0,0.0,0.0
IA,Des Moines,76.4,10.2,0.5,4.4,12.0
IA,De Soto,96.6,0.7,0.5,0.2,1.8
IA,De Witt,97.1,0.8,0.1,0.4,1.9
IA,Dexter,98.5,1.1,0.2,0.0,2.8
IA,Diagonal,97.9,0.3,1.8,0.0,0.0
IA,Diamondhead Lake,98.1,0.0,0.3,0.0,1.9
IA,Dickens,98.4,0.0,0.0,0.5,1.1
IA,Dike,98.8,0.2,0.0,0.2,1.2
IA,Dixon,96.8,1.2,0.8,0.0,0.4
IA,Dolliver,100.0,0.0,0.0,0.0,0.0
IA,Donahue,98.8,0.3,0.0,0.0,0.9
IA,Donnellson,99.0,0.1,0.1,0.2,0.4
IA,Doon,98.6,0.0,0.0,0.0,2.4
IA,Douds,98.7,0.0,0.0,0.7,0.0
IA,Dougherty,96.6,0.0,0.0,3.4,0.0
IA,Dow City,93.1,0.0,0.2,0.0,9.0
IA,Dows,93.3,1.3,0.0,0.2,18.4
IA,Drakesville,99.5,0.0,0.0,0.0,0.5
IA,Dubuque,91.7,4.0,0.3,1.1,2.4
IA,Dumont,98.7,0.2,0.0,0.0,3.3
IA,Duncan,94.7,0.0,0.8,0.0,3.1
IA,Duncombe,96.1,0.5,0.0,0.7,1.0
IA,Dundee,100.0,0.0,0.0,0.0,1.7
IA,Dunkerton,96.1,1.1,0.0,0.7,2.6
IA,Dunlap,98.0,0.0,0.7,0.2,0.8
IA,Durango,100.0,0.0,0.0,0.0,0.0
IA,Durant,98.0,0.1,0.2,0.3,1.7
IA,Dyersville,97.6,0.9,0.0,0.2,1.3
IA,Dysart,97.6,0.5,0.1,0.2,1.5
IA,Eagle Grove,95.5,0.7,0.0,0.1,8.9
IA,Earlham,98.3,0.1,0.0,0.5,0.8
IA,Earling,97.9,0.2,1.4,0.0,1.1
IA,Earlville,98.6,0.0,0.0,0.1,2.5
IA,Early,93.2,1.4,0.2,0.2,4.5
IA,East Amana,100.0,0.0,0.0,0.0,0.0
IA,East Peru,100.0,0.0,0.0,0.0,0.0
IA,Eddyville,96.5,0.1,0.1,0.1,2.4
IA,Edgewood,99.1,0.0,0.1,0.0,0.7
IA,Elberon,96.4,0.0,0.0,0.5,2.6
IA,Eldon,98.4,0.1,0.2,0.0,1.1
IA,Eldora,94.8,2.0,0.3,0.6,3.7
IA,Eldridge,96.8,0.5,0.2,0.5,2.1
IA,Elgin,98.8,0.1,0.4,0.0,1.0
IA,Elkader,98.7,0.1,0.3,0.2,0.3
IA,Elkhart,95.6,1.0,0.3,0.0,3.8
IA,Elk Horn,98.9,0.0,0.0,0.0,1.7
IA,Elkport,100.0,0.0,0.0,0.0,0.0
IA,Elk Run Heights,94.6,1.7,0.3,0.1,2.5
IA,Elliott,99.1,0.0,0.3,0.3,0.9
IA,Ellston,97.7,0.0,0.0,0.0,0.0
IA,Ellsworth,92.1,0.2,2.1,0.4,6.8
IA,Elma,96.3,1.3,0.0,0.0,1.5
IA,Ely,97.5,0.3,0.1,0.5,2.3
IA,Emerson,98.9,0.0,0.0,0.0,0.5
IA,Emmetsburg,96.9,1.0,0.2,0.5,2.0
IA,Epworth,93.9,0.8,0.0,4.8,0.4
IA,Essex,97.2,0.0,0.6,0.0,2.0
IA,Estherville,90.6,0.8,0.7,0.6,11.0
IA,Evansdale,94.8,1.7,0.2,0.5,1.7
IA,Everly,99.7,0.0,0.2,0.0,1.0
IA,Exira,98.6,0.2,0.1,0.4,1.4
IA,Exline,99.4,0.0,0.0,0.0,3.1
IA,Fairbank,98.0,0.3,0.1,0.0,1.8
IA,Fairfax,96.1,1.2,0.2,1.1,1.4
IA,Fairfield,90.3,2.0,0.2,3.9,3.6
IA,Farley,99.3,0.1,0.0,0.0,1.0
IA,Farmersburg,97.0,0.3,0.0,0.3,0.3
IA,Farmington,97.7,0.3,0.8,0.0,2.1
IA,Farnhamville,98.4,0.0,0.3,0.3,0.0
IA,Farragut,99.6,0.0,0.2,0.0,2.3
IA,Fayette,88.6,6.7,0.0,1.9,2.8
IA,Fenton,98.6,0.7,0.0,0.4,0.4
IA,Ferguson,98.4,0.0,0.0,0.0,0.0
IA,Fertile,97.8,0.5,1.1,0.3,4.9
IA,Floris,99.3,0.0,0.0,0.0,0.7
IA,Floyd,98.8,0.0,0.0,0.0,0.3
IA,Fonda,94.3,0.5,0.0,0.3,8.7
IA,Fontanelle,99.7,0.0,0.0,0.0,0.6
IA,Forest City,94.9,1.5,0.2,1.3,3.0
IA,Fort Atkinson,98.0,0.0,0.0,0.0,3.2
IA,Fort Dodge,89.7,5.5,0.4,0.8,5.0
IA,Fort Madison,89.3,5.5,0.4,0.6,6.7
IA,Fostoria,96.5,0.0,0.0,0.4,2.6
IA,Franklin,99.3,0.0,0.7,0.0,0.0
IA,Fraser,98.0,0.0,0.0,0.0,0.0
IA,Fredericksburg,96.1,0.2,0.2,0.1,3.4
IA,Frederika,98.4,0.0,0.5,1.1,0.0
IA,Fredonia,74.6,0.4,2.0,2.5,43.9
IA,Fremont,98.7,0.1,0.0,0.7,0.4
IA,Fruitland,96.7,0.0,0.2,0.4,4.4
IA,Frytown,97.0,0.0,0.0,0.0,2.4
IA,Galt,100.0,0.0,0.0,0.0,21.9
IA,Galva,95.4,0.2,0.7,0.2,6.5
IA,Garber,100.0,0.0,0.0,0.0,0.0
IA,Garden City,100.0,0.0,0.0,0.0,0.0
IA,Garden Grove,97.6,0.9,0.0,0.0,0.9
IA,Garnavillo,98.3,0.5,0.0,0.0,1.6
IA,Garner,97.3,0.6,0.0,0.3,2.0
IA,Garrison,96.2,1.1,0.0,0.0,1.6
IA,Garwin,96.2,0.0,0.6,0.0,3.6
IA,Geneva,98.2,0.0,0.0,0.0,0.6
IA,George,98.5,0.2,0.1,0.2,2.2
IA,Gibson,98.4,0.0,0.0,1.6,0.0
IA,Gilbert,95.3,1.4,0.2,1.1,1.5
IA,Gilbertville,98.6,0.0,0.1,0.6,1.7
IA,Gillett Grove,98.0,0.0,0.0,0.0,0.0
IA,Gilman,99.6,0.0,0.0,0.0,0.8
IA,Gilmore City,97.8,0.4,0.0,0.4,1.6
IA,Gladbrook,98.8,0.0,0.0,0.0,1.0
IA,Glenwood,96.8,0.6,0.3,0.4,2.7
IA,Glidden,99.0,0.0,0.6,0.1,0.6
IA,Goldfield,95.4,0.3,0.5,0.0,3.0
IA,Goodell,95.0,0.0,0.0,0.0,11.5
IA,Goose Lake,99.2,0.0,0.0,0.0,0.0
IA,Gowrie,97.7,1.0,0.1,0.2,1.6
IA,Graettinger,98.5,0.4,0.1,0.0,0.8
IA,Graf,100.0,0.0,0.0,0.0,1.3
IA,Grafton,98.8,0.0,0.0,0.4,0.0
IA,Grand Junction,96.6,0.6,1.2,0.7,1.8
IA,Grand Mound,98.9,0.0,0.0,0.3,1.7
IA,Grand River,96.6,0.0,0.4,0.0,3.4
IA,Grandview,92.3,0.9,0.2,0.9,8.5
IA,Granger,98.5,0.3,0.0,0.4,1.5
IA,Grant,100.0,0.0,0.0,0.0,0.0
IA,Granville,89.7,0.6,0.0,0.3,13.1
IA,Gravity,99.5,0.0,0.0,0.0,1.1
IA,Gray,98.4,0.0,0.0,0.0,0.0
IA,Greeley,100.0,0.0,0.0,0.0,0.0
IA,Greene,98.6,0.2,0.2,0.3,0.4
IA,Greenfield,98.0,0.2,0.1,0.4,2.2
IA,Green Mountain,96.8,0.0,0.0,0.8,0.8
IA,Greenville,96.0,0.0,4.0,0.0,2.7
IA,Grimes,95.0,1.1,0.2,1.7,2.5
IA,Grinnell,91.9,2.0,0.3,2.7,3.2
IA,Griswold,97.5,1.0,0.3,0.1,1.1
IA,Grundy Center,98.6,0.2,0.0,0.1,0.4
IA,Gruver,97.9,2.1,0.0,0.0,1.1
IA,Guernsey,100.0,0.0,0.0,0.0,3.2
IA,Guthrie Center,96.0,0.1,0.4,0.2,3.6
IA,Guttenberg,98.3,0.2,0.0,0.5,1.3
IA,Halbur,99.6,0.0,0.0,0.0,0.0
IA,Hamburg,94.2,0.8,0.5,0.3,6.2
IA,Hamilton,100.0,0.0,0.0,0.0,1.5
IA,Hampton,89.1,0.6,0.2,0.3,21.5
IA,Hancock,95.9,0.0,0.5,0.0,2.6
IA,Hanlontown,97.3,0.9,0.0,0.4,4.9
IA,Hansell,99.0,0.0,0.0,1.0,0.0
IA,Harcourt,98.0,0.3,0.3,0.3,1.3
IA,Hardy,93.6,0.0,0.0,0.0,0.0
IA,Harlan,97.0,0.5,0.4,0.6,1.9
IA,Harper,94.7,0.0,0.9,0.0,5.3
IA,Harpers Ferry,99.7,0.3,0.0,0.0,0.0
IA,Harris,97.6,0.0,1.2,0.0,1.2
IA,Hartford,97.4,0.6,0.1,0.5,2.5
IA,Hartley,95.8,0.0,0.1,0.4,4.4
IA,Hartwick,97.7,0.0,0.0,0.0,0.0
IA,Harvey,97.4,0.0,0.4,1.3,0.9
IA,Hastings,99.3,0.0,0.0,0.0,1.3
IA,Havelock,92.8,0.0,1.4,0.7,6.5
IA,Haverhill,99.4,0.0,0.0,0.0,0.0
IA,Hawarden,86.8,0.5,0.9,0.3,20.0
IA,Hawkeye,99.1,0.7,0.2,0.0,0.2
IA,Hayesville,100.0,0.0,0.0,0.0,0.0
IA,Hayfield,100.0,0.0,0.0,0.0,0.0
IA,Hazleton,96.8,0.5,1.6,0.0,1.6
